"position","entropy"
1,0
2,0
3,0
4,0
5,0
6,0.384311544126497
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0.746906486450779
22,0
23,0
24,0
25,0
26,0
27,1.10485925952077
28,1.49534162235134
29,0
30,1.17373144707486
31,0
32,0
33,1.2815649754772
34,0.950778663137936
35,0.737013732183534
36,0.0356127291244862
37,0
38,0.639510368936281
39,0
40,0
41,0.820562343350984
42,0.3201355293084
43,1.24673546697393
44,0
45,0
46,0
47,0.721928094887362
48,0.16866093149667
49,0
50,0.16866093149667
51,0.16866093149667
52,0.16866093149667
53,0
54,0.468995593589281
55,0.352899188844913
56,0.16866093149667
57,0
58,0.0356127291244862
59,0.969409849698032
60,0.16866093149667
61,0
62,0
63,0.286396957115956
64,0
65,0.16866093149667
66,1.33354959386881
67,0.795478820484269
68,0
69,0.237087326936216
70,0.0356127291244862
71,0
72,0
73,0
74,0
75,1.02464773279573
76,0.0356127291244862
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0.203348754743772
88,0
89,0
90,0.3201355293084
91,0.0356127291244862
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0.3201355293084
100,0
101,0
102,0
103,0.16866093149667
104,0
105,1.56878787509217
106,0
107,0
108,0.41707520366301
109,0.848548178294616
110,0.0703005523715881
111,0.104039124564032
112,0
113,0
114,0.836361647325848
115,0
116,0
117,0.0356127291244862
118,0
119,0
120,0.697592781155097
121,0
122,0.561158339300086
123,0.41707520366301
124,0
125,0
126,0
127,0
128,0.41707520366301
129,0.695536972112808
130,0
131,0
132,0.0356127291244862
133,0
134,0.543564443199596
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0.16866093149667
145,0
146,0
147,0
148,0
149,0
150,0.16866093149667
151,0
152,0
153,0.16866093149667
154,0
155,0
156,0.567709050316149
157,0
158,0
159,0.811278124459133
160,0
161,0
162,0.695664289898303
163,0
164,0.0356127291244862
165,0.60396552981135
166,0
167,0
168,0.74937775196535
169,0
170,0.969163078942262
171,0.203348754743772
172,0.0356127291244862
173,0
174,0.950778663137936
175,0
176,0
177,0
178,0
179,0
180,0
181,0
